repo_name,total_resources,resource_types,nested_stacks,cross_stack_refs,custom_resources,sam_transforms,parameters,conditions,has_terraform,cfn_lines,aws_account_ids,app_ids
eweb-infra-reference,435,AWS::ApiGateway::Account|AWS::Athena::NamedQuery|AWS::CloudFormation::Interface|AWS::CloudFront::Distribution|AWS::CloudFront::ResponseHeadersPolicy|AWS::CloudWatch::Alarm|AWS::CloudWatch::AnomalyDetector|AWS::CloudWatch::CompositeAlarm|AWS::CloudWatch::Dashboard|AWS::CodeBuild::Project|AWS::CodeBuild::SourceCredential|AWS::CodePipeline::Pipeline|AWS::Cognito::UserPool|AWS::Cognito::UserPoolClient|AWS::Cognito::UserPoolDomain|AWS::Cognito::UserPoolIdentityProvider|AWS::DynamoDB::GlobalTable|AWS::EC2::FlowLog|AWS::EC2::Instance|AWS::EC2::NetworkAcl|AWS::EC2::NetworkAclEntry|AWS::EC2::RouteTable|AWS::EC2::SecurityGroup|AWS::EC2::Subnet|AWS::EC2::SubnetNetworkAclAssociation|AWS::EC2::SubnetRouteTableAssociation|AWS::EC2::VPC|AWS::EC2::VPCEndpoint|AWS::Elasticsearch::Domain|AWS::Events::Rule|AWS::Glue::Crawler|AWS::Glue::Database|AWS::IAM::InstanceProfile|AWS::IAM::Policy|AWS::IAM::Role|AWS::IAM::ServiceLinkedRole|AWS::KinesisFirehose::DeliveryStream|AWS::KMS::Alias|AWS::KMS::Key|AWS::Lambda::Function|AWS::Lambda::LayerVersion|AWS::Lambda::Permission|AWS::Logs::LogGroup|AWS::Logs::MetricFilter|AWS::Logs::ResourcePolicy|AWS::Route53::HealthCheck|AWS::S3::Bucket|AWS::S3::BucketPolicy|AWS::SecretsManager::Secret|AWS::SNS::Subscription|AWS::SNS::Topic|AWS::SNS::TopicPolicy|AWS::SSM::Parameter|AWS::WAF::IPSet|AWS::WAF::Rule|AWS::WAF::WebACL|AWS::WAFRegional::IPSet|AWS::WAFRegional::Rule|AWS::WAFRegional::WebACL|AWS::WAFv2::IPSet|AWS::WAFv2::WebACL,0,1,4,false,94,25,false,31076,034420808610|164755717202|686137062481|868907362424|900405192347, !Ref| APP-2704| EWEB|APP-2704
aws-transit-availability-metrics,10,AWS::ApiGateway::ApiKey|AWS::ApiGateway::Method|AWS::ApiGateway::Resource|AWS::ApiGateway::UsagePlan|AWS::ApiGateway::UsagePlanKey|AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::EC2::SecurityGroup|AWS::IAM::Role|AWS::SSM::Parameter,0,6,0,false,2,0,false,577,514712703977|686137062481,none
aws-waf-rules-automation-geomart-unsite,6,AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::ElasticLoadBalancingV2::LoadBalancer|AWS::FMS::Policy|AWS::IAM::Role|AWS::SSM::Parameter|AWS::WAFv2::IPSet|AWS::WAFv2::RuleGroup,0,0,0,false,2,0,false,492,686137062481,none
ccsp-cdp-db-trigger-batch-lambda,9,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::EC2::SecurityGroup|AWS::IAM::Role|AWS::S3::Bucket|AWS::S3::BucketPolicy|AWS::Serverless::Function|AWS::SSM::Parameter,0,0,0,true,3,0,false,1048,580247275435|720720378559|780761660372|901920570463,APP-2395
aws-transit-public-elb-geomart-unsite,27,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::EC2::SecurityGroup|AWS::ElasticLoadBalancingV2::Listener|AWS::ElasticLoadBalancingV2::LoadBalancer|AWS::ElasticLoadBalancingV2::TargetGroup|AWS::Events::Rule|AWS::IAM::ManagedPolicy|AWS::IAM::Role|AWS::Lambda::Function|AWS::Lambda::Permission|AWS::SNS::Topic|AWS::SSM::Parameter|AWS::WAFv2::WebACLAssociation,0,4,2,false,2,9,false,1707,242937548904|514712703977|686137062481|757620174545,APP-2102
crm-gdl-search,5,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::CodePipeline::Webhook|AWS::CodeStarNotifications::NotificationRule|AWS::ECR::Repository|AWS::IAM::Policy|AWS::IAM::Role|AWS::SNS::Topic|AWS::SNS::TopicPolicy|AWS::SSM::Parameter,0,0,0,false,1,3,false,649,none,none
aws-logging-central-nlbaccesslogs-spoke,1,AWS::Events::Rule|AWS::IAM::Policy|AWS::IAM::Role|AWS::Lambda::Function|AWS::Lambda::Permission|AWS::S3::Bucket|AWS::S3::BucketPolicy,0,0,0,false,1,0,false,313,none,APP-2102
cscoe-prisma-utils,28,AWS::CloudFormation::Interface|AWS::IAM::ManagedPolicy|AWS::IAM::Role|AWS::IAM::User|AWS::KMS::Alias|AWS::KMS::Key|AWS::SecretsManager::ResourcePolicy|AWS::SecretsManager::Secret|AWS::Serverless::Function|AWS::SSM::Parameter,0,0,0,true,5,0,true,915,241689241215|686137062481|739846873405,none
aws-waf-sample,130,AWS::CloudFormation::Interface|AWS::CloudFormation::Stack|AWS::Events::Rule|AWS::IAM::Role|AWS::Lambda::Function|AWS::Lambda::Permission|AWS::S3::Bucket|AWS::SNS::Topic|AWS::WAF::ByteMatchSet|AWS::WAF::IPSet|AWS::WAF::Rule|AWS::WAF::SizeConstraintSet|AWS::WAF::SqlInjectionMatchSet|AWS::WAF::WebACL|AWS::WAF::XssMatchSet|AWS::WAFRegional::ByteMatchSet|AWS::WAFRegional::IPSet|AWS::WAFRegional::Rule|AWS::WAFRegional::SizeConstraintSet|AWS::WAFRegional::SqlInjectionMatchSet|AWS::WAFRegional::WebACL|AWS::WAFRegional::XssMatchSet,9,0,0,false,1,15,false,4614,none,none
aws-waf-security-automations-LEGACY,2,AWS::ApiGateway::Deployment|AWS::ApiGateway::Method|AWS::ApiGateway::Resource|AWS::ApiGateway::RestApi|AWS::ApiGateway::Stage|AWS::CloudFormation::Interface|AWS::CloudFormation::Stack|AWS::CloudWatch::Dashboard|AWS::Events::Rule|AWS::IAM::Role|AWS::Lambda::Function|AWS::Lambda::Permission|AWS::WAF::IPSet|AWS::WAF::Rule|AWS::WAF::SqlInjectionMatchSet|AWS::WAF::WebACL|AWS::WAF::XssMatchSet|AWS::WAFRegional::IPSet|AWS::WAFRegional::Rule|AWS::WAFRegional::SqlInjectionMatchSet|AWS::WAFRegional::WebACL|AWS::WAFRegional::XssMatchSet,4,0,10,false,6,76,false,3796,none,none
aws-cfn-s3web,94,AWS::CloudFormation::Interface|AWS::CloudFormation::Macro|AWS::CloudFront::Distribution|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::IAM::ManagedPolicy|AWS::IAM::Role|AWS::Lambda::Function|AWS::Lambda::Permission|AWS::Route53::RecordSet|AWS::S3::Bucket|AWS::S3::BucketPolicy|AWS::SecretsManager::Secret|AWS::SNS::Topic|AWS::SNS::TopicPolicy|AWS::SSM::Parameter|AWS::StepFunctions::StateMachine|AWS::WAF::IPSet|AWS::WAF::Rule|AWS::WAF::WebACL|AWS::WAFRegional::IPSet|AWS::WAFRegional::Rule|AWS::WAFRegional::WebACL,0,0,3,false,19,7,false,7037,012345678910|166654309347|514712703977|670341405383|717339529996, !Ref
ccsp-cdp-rest-api-gateway,10,AWS::ApiGateway::Account|AWS::ApiGateway::Authorizer|AWS::ApiGateway::Deployment|AWS::ApiGateway::Method|AWS::ApiGateway::Resource|AWS::ApiGateway::RestApi|AWS::ApiGateway::Stage|AWS::IAM::Role|AWS::Lambda::Permission|AWS::Logs::LogGroup|AWS::SSM::Parameter,0,0,0,true,2,0,false,508,none,none
ccsp-cdp-apiiterator,3,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::Events::Rule|AWS::IAM::Role|AWS::SSM::Parameter,0,0,0,false,1,0,false,268,720720378559,none
ccsp-cdp-rfb-automation,2,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::EC2::Image|AWS::EC2::Instance|AWS::EC2::LaunchTemplate|AWS::EC2::SecurityGroup|AWS::IAM::InstanceProfile|AWS::IAM::Role|AWS::Lambda::Function|AWS::S3::Bucket|AWS::S3::BucketPolicy|AWS::SSM::Parameter,0,0,0,false,2,0,false,961,708921516569,APP-2395
ccsp-cdp-custom-monitoring,9,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::EC2::SecurityGroup|AWS::IAM::Role|AWS::S3::Bucket|AWS::S3::BucketPolicy|AWS::Serverless::Function|AWS::SSM::Parameter,0,0,0,true,3,0,false,985,580247275435|720720378559|780761660372|901920570463,APP-2395
aws-lambda-layer,4,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::IAM::ManagedPolicy|AWS::IAM::Role|AWS::Lambda::LayerVersion|AWS::Lambda::LayerVersionPermission|AWS::S3::Bucket,0,0,0,false,3,0,false,697,none, !Ref|APP-2201
ccsp-cdp-kcl-update-module,3,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::Events::Rule|AWS::IAM::Role|AWS::SSM::Parameter,0,0,0,false,1,0,false,262,720720378559,none
ccsp-cdp-kcl-delete-module,3,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::Events::Rule|AWS::IAM::Role|AWS::SSM::Parameter,0,0,0,false,1,0,false,262,720720378559,none
ccsp-cdp-kcl-insert-module,3,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::Events::Rule|AWS::IAM::Role|AWS::SSM::Parameter,0,0,0,false,1,0,false,262,720720378559,none
github-actions-python,7,AWS::CloudFormation::Interface|AWS::EC2::Image|AWS::EC2::Instance|AWS::EC2::SecurityGroup|AWS::EC2::Subnet|AWS::EC2::VPC|AWS::ElasticLoadBalancingV2::Listener|AWS::ElasticLoadBalancingV2::LoadBalancer|AWS::ElasticLoadBalancingV2::TargetGroup|AWS::IAM::InstanceProfile|AWS::IAM::Policy|AWS::IAM::Role|AWS::SSM::Parameter,0,0,0,false,1,0,false,343,none,APP-2102
test_python,7,AWS::CloudFormation::Interface|AWS::EC2::Image|AWS::EC2::Instance|AWS::EC2::SecurityGroup|AWS::EC2::Subnet|AWS::EC2::VPC|AWS::ElasticLoadBalancingV2::Listener|AWS::ElasticLoadBalancingV2::LoadBalancer|AWS::ElasticLoadBalancingV2::TargetGroup|AWS::IAM::InstanceProfile|AWS::IAM::Policy|AWS::IAM::Role|AWS::SSM::Parameter,0,0,0,false,1,0,false,343,none,APP-2102
ccsp-cdp-batchpsql-repo,3,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::IAM::Role|AWS::S3::Bucket|AWS::S3::BucketPolicy|AWS::SSM::Parameter,0,0,0,false,1,0,false,524,none,none
ccsp-cdp-rates-batch-execution,6,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::IAM::Role|AWS::S3::Bucket|AWS::S3::BucketPolicy|AWS::SSM::Parameter,0,0,0,false,2,0,false,778,720720378559,none
aws-waf-rules-automation-geomart,7,AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::ElasticLoadBalancingV2::LoadBalancer|AWS::FMS::Policy|AWS::IAM::Role|AWS::SSM::Parameter|AWS::WAFv2::IPSet|AWS::WAFv2::RuleGroup,0,0,0,false,2,0,false,546,686137062481,none
gis-geomartcloud-infrastructure-jenkins,9,AWS::AutoScaling::AutoScalingGroup|AWS::AutoScaling::LaunchConfiguration|AWS::AutoScaling::LifecycleHook|AWS::AutoScaling::ScalingPolicy|AWS::Backup::BackupPlan|AWS::Backup::BackupSelection|AWS::Backup::BackupVault|AWS::CloudFormation::Init|AWS::CloudFormation::Interface|AWS::CloudWatch::Alarm|AWS::EC2::LaunchTemplate|AWS::EC2::SecurityGroup|AWS::EC2::SecurityGroupIngress|AWS::EFS::FileSystem|AWS::EFS::MountTarget|AWS::ElasticLoadBalancingV2::Listener|AWS::ElasticLoadBalancingV2::LoadBalancer|AWS::ElasticLoadBalancingV2::TargetGroup|AWS::IAM::InstanceProfile|AWS::IAM::Policy|AWS::IAM::Role|AWS::Logs::LogGroup|AWS::Route53::RecordSet|AWS::SNS::Topic|AWS::SQS::Queue|AWS::SSM::Parameter,0,40,0,false,10,87,false,23990,084846664131|215900123988|412551746953|719465802387, !Ref|APP-2766
gis-gmcloud-monitoring-s3-automation,6,AWS::EC2::SecurityGroup|AWS::Events::Rule|AWS::IAM::Policy|AWS::IAM::Role|AWS::Lambda::Function|AWS::Lambda::Permission|AWS::SSM::Parameter,0,0,0,false,1,0,false,368,none, !Ref|APP-2753
gis-gmcloud-monitoring-rds-automation,6,AWS::EC2::SecurityGroup|AWS::Events::Rule|AWS::IAM::Policy|AWS::IAM::Role|AWS::Lambda::Function|AWS::Lambda::Permission|AWS::SSM::Parameter,0,0,0,false,1,0,false,368,none, !Ref|APP-2753
gis-ec2instance-automation,6,AWS::EC2::SecurityGroup|AWS::Events::Rule|AWS::IAM::Policy|AWS::IAM::Role|AWS::Lambda::Function|AWS::Lambda::Permission|AWS::SSM::Parameter,0,0,0,false,1,0,false,367,none, !Ref|APP-2753
ccsp-cdp-sfapi-demo-module,3,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::Events::Rule|AWS::IAM::Role|AWS::SSM::Parameter,0,0,0,false,1,0,false,265,720720378559,none
ccoe-autopatch-parameters-cft,5,AWS::SSM::Parameter,0,0,0,false,1,0,false,64,none,none
pge-ecm-crm-ingress,11,AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::CodePipeline::Webhook|AWS::IAM::Policy|AWS::IAM::Role|AWS::SSM::Parameter,0,0,0,false,1,0,false,541,none,none
aws-transit-open-public-elb-mule,25,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::EC2::SecurityGroup|AWS::ElasticLoadBalancingV2::Listener|AWS::ElasticLoadBalancingV2::LoadBalancer|AWS::ElasticLoadBalancingV2::TargetGroup|AWS::Events::Rule|AWS::IAM::ManagedPolicy|AWS::IAM::Role|AWS::Lambda::Function|AWS::Lambda::Permission|AWS::SNS::Topic|AWS::SSM::Parameter|AWS::WAFv2::WebACLAssociation,0,4,2,false,2,6,false,1624,242937548904|514712703977|686137062481|757620174545,APP-2102
aws-waf-rules-automation-open-mule,4,AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::ElasticLoadBalancingV2::LoadBalancer|AWS::FMS::Policy|AWS::IAM::Role|AWS::SSM::Parameter,0,0,0,false,2,0,false,463,686137062481,none
gis-geomartcloud-palantir-etl-dataload,9,AWS::EC2::SecurityGroup|AWS::EC2::SecurityGroupIngress|AWS::ECS::TaskDefinition|AWS::Glue::Connection|AWS::Glue::Job|AWS::Glue::Trigger|AWS::IAM::Role|AWS::Logs::LogGroup|AWS::SecretsManager::Secret|AWS::SSM::Parameter,0,0,0,false,1,0,false,727,none, !Ref
ccsp-cdp-error-retry-orchestrator,3,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::Events::Rule|AWS::IAM::Role|AWS::SSM::Parameter,0,0,0,false,1,0,false,265,720720378559,none
aws-grid-autopatch,4,AWS::SSM::MaintenanceWindow|AWS::SSM::MaintenanceWindowTarget|AWS::SSM::MaintenanceWindowTask|AWS::SSM::PatchBaseline,0,0,0,false,0,0,false,113,none,APP-3216
aws-logging-central-elk-hub,8,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::EC2::SecurityGroup|AWS::Elasticsearch::Domain|AWS::IAM::Role|AWS::Logs::LogGroup|AWS::SecretsManager::Secret|AWS::SSM::Parameter,0,0,0,false,2,0,false,600,686137062481,APP-2102
aws-polyai,2,AWS::CloudFormation::Interface|AWS::S3::Bucket|AWS::S3::BucketPolicy|AWS::SSM::Parameter,0,0,0,false,1,0,false,63,none,none
Static-Web-Application,61,AWS::ApiGateway::Account|AWS::ApiGateway::Deployment|AWS::ApiGateway::RestApi|AWS::ApiGateway::Stage|AWS::CloudFormation::CustomResource|AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::DMS::Endpoint|AWS::DMS::ReplicationInstance|AWS::DMS::ReplicationSubnetGroup|AWS::DMS::ReplicationTask|AWS::EC2::SecurityGroup|AWS::EC2::SecurityGroupIngress|AWS::EC2::VPCEndpoint|AWS::IAM::Role|AWS::Lambda::Function|AWS::Lambda::Permission|AWS::RDS::DBCluster|AWS::RDS::DBClusterParameterGroup|AWS::RDS::DBInstance|AWS::RDS::DBParameterGroup|AWS::RDS::DBSubnetGroup|AWS::RDS::OptionGroup|AWS::S3::Bucket|AWS::SecretsManager::Secret|AWS::SecretsManager::SecretTargetAttachment|AWS::Serverless::LayerVersion|AWS::SSM::Parameter|AWS::WAFv2::IPSet|AWS::WAFv2::WebACL|AWS::WAFv2::WebACLAssociation,0,0,3,true,7,5,false,3406,295322325498|692074506238, !Ref
pge-ecm-migration-cicd,66,AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::CodePipeline::Webhook|AWS::EC2::SecurityGroup|AWS::IAM::Policy|AWS::IAM::Role|AWS::SSM::Parameter,0,0,0,false,7,0,false,2369,none,none
aws-lz-org-policies,14,AWS::CloudFormation::Init|AWS::EC2::Instance|AWS::EC2::KeyPair|AWS::EC2::NetworkAcl|AWS::EC2::NetworkAclEntry|AWS::EC2::RouteTable|AWS::EC2::SecurityGroup|AWS::EC2::Subnet|AWS::EC2::SubnetNetworkAclAssociation|AWS::EC2::VPC,0,0,0,false,0,0,false,436,none,none
aws-transit-open-public-nlb-mule,24,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::EC2::SecurityGroup|AWS::ElasticLoadBalancingV2::Listener|AWS::ElasticLoadBalancingV2::LoadBalancer|AWS::ElasticLoadBalancingV2::TargetGroup|AWS::Events::Rule|AWS::IAM::ManagedPolicy|AWS::IAM::Role|AWS::Lambda::Function|AWS::Lambda::Permission|AWS::SNS::Topic|AWS::SSM::Parameter,0,4,1,false,2,6,false,1593,242937548904|514712703977|686137062481|757620174545,APP-2102
gis-geomartcloud-pspsv4-infrastructure,18,AWS::CloudFormation::Interface|AWS::EC2::Image|AWS::EC2::Instance|AWS::Events::Rule|AWS::IAM::Policy|AWS::IAM::Role|AWS::Lambda::Function|AWS::Lambda::Permission|AWS::Logs::LogGroup|AWS::SSM::Document|AWS::SSM::Parameter,0,0,0,false,2,0,false,806,none, !Ref
ccsp-cdp-pod-monitoring,3,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::Events::Rule|AWS::IAM::Role|AWS::SSM::Parameter,0,0,0,false,1,0,false,278,720720378559,none
ccsp-cdp-getrates-service,3,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::Events::Rule|AWS::IAM::Role|AWS::SSM::Parameter,0,0,0,false,1,0,false,265,720720378559,none
ccsp-cdp-getrates-ping-response,9,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::EC2::SecurityGroup|AWS::IAM::Role|AWS::S3::Bucket|AWS::S3::BucketPolicy|AWS::Serverless::Function|AWS::SSM::Parameter,0,0,0,true,3,0,false,985,580247275435|720720378559|846113385035|901920570463,APP-2395
pge-ecm-crm-documentum-cicd,300,AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::CodePipeline::Webhook|AWS::IAM::Policy|AWS::IAM::Role|AWS::RDS::DBCluster|AWS::RDS::DBClusterParameterGroup|AWS::RDS::DBInstance|AWS::RDS::DBSubnetGroup|AWS::SecretsManager::RotationSchedule|AWS::SecretsManager::Secret|AWS::SecretsManager::SecretTargetAttachment|AWS::SSM::Parameter,0,0,0,false,25,2,false,13113,none,none
ccsp-cdp-apicaller,3,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::Events::Rule|AWS::IAM::Role|AWS::SSM::Parameter,0,0,0,false,1,0,false,261,720720378559,none
aws-cfn-proxy,34,AWS::AutoScaling::AutoScalingGroup|AWS::AutoScaling::LaunchConfiguration|AWS::AutoScaling::ScalingPolicy|AWS::CloudFormation::Init|AWS::CloudFormation::Interface|AWS::CloudWatch::Alarm|AWS::CloudWatch::Dashboard|AWS::EC2::Image|AWS::EC2::SecurityGroup|AWS::EC2::Subnet|AWS::EC2::VPC|AWS::ElasticLoadBalancingV2::Listener|AWS::ElasticLoadBalancingV2::LoadBalancer|AWS::ElasticLoadBalancingV2::TargetGroup|AWS::IAM::InstanceProfile|AWS::IAM::Role|AWS::Logs::LogGroup|AWS::Scheduler::Schedule|AWS::SecretsManager::Secret|AWS::SSM::Parameter,0,1,2,false,2,5,true,2266,514712703977,APP-2102|APP-2949|APP-3373
ccsp-cdp-error-retry-cleanup,3,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::Events::Rule|AWS::IAM::Role|AWS::SSM::Parameter,0,0,0,false,1,0,false,262,720720378559,none
ccsp-cdp-recovery-orchestrator,3,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::Events::Rule|AWS::IAM::Role|AWS::SSM::Parameter,0,0,0,false,1,0,false,265,720720378559,none
ccsp-cdp-eks-start-function,9,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::EC2::SecurityGroup|AWS::IAM::Role|AWS::S3::Bucket|AWS::S3::BucketPolicy|AWS::Serverless::Function|AWS::SSM::Parameter,0,0,0,true,3,0,false,1001,580247275435|720720378559|901920570463,APP-2395
csp-cdp-eks-shutdown-function,9,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::EC2::SecurityGroup|AWS::IAM::Role|AWS::S3::Bucket|AWS::S3::BucketPolicy|AWS::Serverless::Function|AWS::SSM::Parameter,0,0,0,true,3,0,false,1001,580247275435|720720378559|901920570463,APP-2395
ccsp-cdp-rds-status-function,9,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::EC2::SecurityGroup|AWS::IAM::Role|AWS::S3::Bucket|AWS::S3::BucketPolicy|AWS::Serverless::Function|AWS::SSM::Parameter,0,0,0,true,3,0,false,1001,580247275435|720720378559|901920570463,APP-2395
ccsp-cdp-rds-start-function,9,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::EC2::SecurityGroup|AWS::IAM::Role|AWS::S3::Bucket|AWS::S3::BucketPolicy|AWS::Serverless::Function|AWS::SSM::Parameter,0,0,0,true,3,0,false,1001,580247275435|720720378559|901920570463,APP-2395
csp-cdp-rds-shutdown-function,9,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::EC2::SecurityGroup|AWS::IAM::Role|AWS::S3::Bucket|AWS::S3::BucketPolicy|AWS::Serverless::Function|AWS::SSM::Parameter,0,0,0,true,3,0,false,1001,580247275435|720720378559|901920570463,APP-2395
ccsp-cdp-ogg-status-function,9,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::EC2::SecurityGroup|AWS::IAM::Role|AWS::S3::Bucket|AWS::S3::BucketPolicy|AWS::Serverless::Function|AWS::SSM::Parameter,0,0,0,true,3,0,false,1001,580247275435|720720378559|901920570463,APP-2395
ccsp-cdp-ogg-start-function,9,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::EC2::SecurityGroup|AWS::IAM::Role|AWS::S3::Bucket|AWS::S3::BucketPolicy|AWS::Serverless::Function|AWS::SSM::Parameter,0,0,0,true,3,0,false,1001,580247275435|720720378559|901920570463,APP-2395
ccsp-cdp-ogg-shutdown-function,9,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::EC2::SecurityGroup|AWS::IAM::Role|AWS::S3::Bucket|AWS::S3::BucketPolicy|AWS::Serverless::Function|AWS::SSM::Parameter,0,0,0,true,3,0,false,965,580247275435|720720378559|901920570463,APP-2395
cscoe-config-rules,2152,AWS::ACM::Certificate|AWS::AppStream::Fleet|AWS::AppStream::Stack|AWS::AppSync::GraphQLApi|AWS::Athena::NamedQuery|AWS::Athena::WorkGroup|AWS::AutoScaling::AutoScalingGroup|AWS::Batch::JobDefinition|AWS::CDK::Metadata|AWS::CloudFormation::Interface|AWS::CloudFormation::StackSet|AWS::CloudFormation::WaitConditionHandle|AWS::CloudTrail::Trail|AWS::CloudWatch::Alarm|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::Cognito::UserPoolClient|AWS::Config::ConfigRule|AWS::Config::ConfigurationRecorder|AWS::DataPipeline::Pipeline|AWS::DMS::ReplicationInstance|AWS::DocDB::DBCluster|AWS::DynamoDB::Table|AWS::EC2::Instance|AWS::EC2::NetworkInterface|AWS::EC2::SecurityGroup|AWS::EC2::Subnet|AWS::EC2::Volume|AWS::EC2::VPC|AWS::EC2::VPCEndpoint|AWS::ECR::Repository|AWS::ECS::Cluster|AWS::ECS::Service|AWS::ECS::TaskDefinition|AWS::EFS::FileSystem|AWS::EKS::Cluster|AWS::ElastiCache::CacheCluster|AWS::ElasticBeanstalk::Environment|AWS::ElasticLoadBalancing::LoadBalancer|AWS::ElasticLoadBalancingV2::LoadBalancer|AWS::Elasticsearch::Domain|AWS::Events::EventBusPolicy|AWS::Events::Rule|AWS::Glue::Crawler|AWS::Glue::Job|AWS::Glue::Workflow|AWS::IAM::ManagedPolicy|AWS::IAM::Policy|AWS::IAM::Role|AWS::KMS::Alias|AWS::KMS::Key|AWS::Lambda::Function|AWS::Lambda::Permission|AWS::Logs::LogGroup|AWS::RDS::DBCluster|AWS::RDS::DBClusterSnapshot|AWS::RDS::DBInstance|AWS::RDS::DBSecurityGroup|AWS::RDS::DBSnapshot|AWS::RDS::DBSubnetGroup|AWS::RDS::EventSubscription|AWS::Redshift::Cluster|AWS::RedshiftServerless::Namespace|AWS::Route53::HostedZone|AWS::S3::Bucket|AWS::S3::BucketPolicy|AWS::SecretsManager::Secret|AWS::Serverless::Function|AWS::Serverless::StateMachine|AWS::ServiceCatalog::Portfolio|AWS::SNS::Topic|AWS::SQS::Queue|AWS::SSM::ManagedInstanceInventory|AWS::SSM::Parameter,3,0,0,true,109,8,true,74789,241689241215|384861874741|553067951317|686137062481|739846873405|801458782278|884690872852,APP-2781
ccsp-cdp-dm-function-trigger-lambda,9,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::CodePipeline::Webhook|AWS::EC2::SecurityGroup|AWS::IAM::Role|AWS::S3::Bucket|AWS::S3::BucketPolicy|AWS::Serverless::Function|AWS::SSM::Parameter,0,0,0,true,3,0,false,920,708921516569|720720378559,APP-2395
aws-transit-public-elb-onetrust-r1av,25,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::EC2::SecurityGroup|AWS::ElasticLoadBalancingV2::Listener|AWS::ElasticLoadBalancingV2::LoadBalancer|AWS::ElasticLoadBalancingV2::TargetGroup|AWS::Events::Rule|AWS::IAM::ManagedPolicy|AWS::IAM::Role|AWS::Lambda::Function|AWS::Lambda::Permission|AWS::SNS::Topic|AWS::SSM::Parameter|AWS::WAFv2::WebACLAssociation,0,4,2,false,2,6,false,1618,242937548904|514712703977|686137062481|757620174545,APP-2102
